NCTId,Condition,Brief Title,Completion Date,Intervention Name,Phase,Enrollment,Primary Outcome,Secondary Outcome,Study Type,Lead Sponsor,Eligibility,Location,Study First Post Date
NCT06061822,"Cardiovascular Diseases, Healthy Volunteers",Artificial Intelligence Delivered Cardiac Magnetic Resonance - Prospective Validation,2027-12-01,AI-assisted cardiac magnetic resonance imaging,Not Applicable,150,"The time taken in seconds from the beginning of the planning process, until the last planned images has been fully acquired., Quality of acquired images (AI-planning versus radiographer planning) assessed by level 3 cardiac MRI accredited doctors, by asking them to choose whether (a) the AI-acquired image is of higher diagnostic quality, (b) the radiographer-acquired image is of higher diagnostic quality, or (c) the AI- and radiographer-acquired images are of identical diagnostic quality.",,Interventional,,"Inclusion Criteria:

Adult (aged at least 18 years)

Exclusion Criteria:

Children (patients below age 18).
Pregnant patients.",,2023-09-29
NCT05241483,"Predictive Value of Tests, Vital Signs, Laboratory Critical Values, Relative Value Scales, Reference Values",Remote Patient Monitoring and Detection of Possible Diseases With Artificial Intelligence Telemedicine System,2022-12-30,mesure valition,Unaddressed,1000,Her physician's patient symptom data were successfully matched to ICD-10 and other disease codes using the AI model.,,Observational,,"Inclusion Criteria:

No Eligibility Criteria

Exclusion Criteria:

-",Turkey,2022-02-15
NCT05823792,Ileocolic Intussusception,Performance of Artificial Intelligence Tools and Ultrasonographers With Different Skills,2023-05-10,Non-invasive diagnosis of ileocolic intussusception by ultrasound with indication for surgery,Unaddressed,250,Ultrasound diagnosis of ileocolic intussusception,Surgical indication of ileocolic intussusception identified by ultrasound,Observational,,"Inclusion Criteria:

Children aged 3-36 months with suspected ileocolic intussusception

Exclusion Criteria:

Children younger than 3 months or older than 36 months with suspected ileocolic intussusception",China,2023-04-21
NCT04563416,"Artificial Intelligence, Optical Enhancement Endoscopy, Magnifying Endoscopy",Application of Artificial Intelligence for Early Diagnosis of Gastric Cancer During Optical Enhancement Magnifying Endoscopy,2020-12-30,,Unaddressed,80,"the sensitivity, specificity and accuracy of the computer-assist diagnosis tool",,Observational,,"Inclusion Criteria:

patients receive optical magnifying OE endoscopy examination

Exclusion Criteria:

Patients with advanced cancer, lymphoma,active stage of ulcer and artificial ulcer after ESD were excluded.",China,2020-09-24
NCT04918992,Pelvic Cancer,Post Radiotherapy MRI Based AI System to Predict Radiation Proctitis for Pelvic Cancers,2024-08-01,Artificial Intelligence,Unaddressed,400,The area under curve (AUC) of Receiver Operating Characteristic (ROC) curves of AI prediction system in identifying the radiation proctitis candidates from non-radiation proctitis individuals among pelvic cancers underwent radiotherapy,The specificity of AI prediction system in identifying the radiation proctitis candidates from non-radiation proctitis individuals among pelvic cancers underwent radiotherapy,Observational,,"Inclusion Criteria:

pathologically diagnosed as pelvic tumours
intending to receive or undergoing radiotherapy
MRI (high-solution T2-weighted imaging, contrast-enhanced T1-weighted imaging, and diffusion-weighted imaging are required) examination is completed after radiotherapy

Exclusion Criteria:

insufficient imaging quality of MRI (e.g., lack of sequence, motion artifacts)
incomplete radiotherapy","China, China, China, China",2021-06-09
NCT04610177,Quality Evaluation System for Colonoscopy,Prospective Multicenter Study of Artificial Intelligence-assisted Quality Evaluation System for Colonoscopy,2021-12-16,,Unaddressed,5813,"Percentage of enteroscopy exit velocity overdrive, ADR was calcilated by dividing the tatal number of patients being detected adenomas by the number of colinoscopies.","The advanced adenoma detection rate was calcilated by dividing the tatal number of patients being detected advanced adenomas by the number of colinoscopies., PDR was calcilated by dividing the tatal number of patients being detected polyps by the number of colinoscopies., MAP was calculated by dividing the total number of adenomas by the number of colonoscopies., It was calculated by dividing the number of patients with polyps that large (≥10mm), small(6-9 mm) and diminutive(≤5 mm) by the number of patients undergoing colonoscopy., It was calculated by dividing the number of polyps that large (≥10mm), small(6-9 mm) and diminutive(≤5 mm) by the number of patients undergoing colonoscopy., It was calculated by dividing the number of patients with adenomas that large (≥10mm), small(6-9 mm) and diminutive(≤5 mm) by the number of patients undergoing colonoscopy., It was calculated by dividing the number of adenomas that large (≥10mm), small(6-9 mm) and diminutive(≤5 mm) by the number of patients undergoing colonoscopy., It was calculated by dividing the number of patients with adenomas detected in the rectum, sigmoid colon, descending colon, transverse colon, ascending colon, ileocecal region ect. by the total number patients undergoing colonoscopy., It was calculated by dividing the number of adenomas detected in the rectum, sigmoid colon, descending colon, transverse colon, ascending colon, ileocecal region ect. by the total number patients undergoing colonoscopy., It was calculated by dividing the number of colonoscopies that get to the ileocecal region by the total number of colonoscopies., The artificial intelligence evaluates the Boston Bowel Preparation score of the ascending colon, transverse colon,and descending colon in real-time, and calculates the proportion of 1Score.",Observational,,"Inclusion Criteria:

Male or female aged 50-80(inclusive) ;
Ability to read, understand and sign an informed consent form;
The researchers believed that the subjects were able to understand the flow of the clinical study and were willing and able to complete all the procedures and follow-up interviews to accompany the study.

Exclusion Criteria:

Participants who meet any of the following criteria will be excluded from the study

Drug or alcohol abuse or psychological disorders in the last 5 years;
Pregnant or lactating women;
Patients with known Polyp Syndrome;
Patients with known Inflammatory Bowel Disease;
Patients with known Intestinal stricture or mass tumor;
Patients with known colonic obstruction or perforation;
Patients with a previous history of colorectal surgery;
Patients with a previous history of Anaphylaxis to antispasmodic agents;
Blood coagulation disorders or oral anticoagulants and other reasons can not be biopsy and polypectomy;
High-risk diseases or other special conditions considered unsuitable for participants in clinical trials.",China,2020-10-30
NCT05497258,"Artificial Intelligence, Diagnoses Disease",IDEAS-AAP System Diagnoses Acute Abdominal Pain,2022-10-01,Artificial intelligence assistant system,Not Applicable,151,Calculation method = number of right cases / total number of cases 100%,"Calculation method = number of right cases / total number of cases 100%, Calculation method = number of right cases / total number of cases 100%",Interventional,,"Inclusion Criteria:

Males or females who are over 18 years old;
After qualified medical education and obtained the Certificate of medical practitioner;

Exclusion Criteria:

Physicians without qualified medical education and didn't obtain the Certificate of medical practitioner;
The researcher believes that the subjects are not suitable for participating in clinical trials.",China,2022-08-11
NCT05117970,Left Ventricular Systolic Dysfunction (Disorder),Artificial Intelligence-assisted Diagnosis and Prognostication in Low Ejection Fraction Using Electrocardiograms,2024-12-31,AI-enabled ECG-based Screening Tool,Not Applicable,84000,Ejection fraction obtained by echocardiography,"After performing an electrocardiogram, the patient's survival is tracked., After performing an electrocardiogram, the patient's survival is tracked., After performing the ECG examination, perform theTransesophageal Echocardiography examination",Interventional,,"Inclusion Criteria:

Patients with EF>50% or without Transesophageal Echocardiography (TEE)

Exclusion Criteria:

Patients with a history of heart failure or an EF<= 35%.",Taiwan,2021-11-11
NCT04991987,"Pneumothorax, Pleural Effusion, Bone Fracture, Consolidation, Opacity",Multicenter Validation Study of an Artificial Intelligence Tool for Automatic Classification of Chest X-rays,2022-07-31,,Unaddressed,385,"The concordance between the category assigned by the professionals and that assigned by the algorithm will be analyzed. For this purpose, a diagnostic test will be evaluated for the detection of abnormality (i.e., the test is positive when at least one of the four types of findings is observed). Considering the specialists' diagnosis as a reference standard, the confusion matrix will be constructed and the diagnostic metrics of the AI tool (sensitivity, specificity and predictive values) will be calculated. The 95% confidence intervals will be calculated using exact binomial distribution.","Receiver Operating Characteristic curves will be constructed for the global category of abnormality and for each of the individual radiological findings, calculating in each case the Area Under the Curve (value between 0 and 1). A model whose predictions are 100% incorrect has an area under the curve of 0.0; another whose predictions are 100% correct has an area under the curve of 1.0. The categorization made by the expert radiologists will be taken as the reference standard. It will be evaluated whether there is a significant difference between the area under the curve of the AI tool and the reference value estimated for non-imaging physicians (i.e. emergency room physicians or residents). The De Long test with a significance level of 0.01 will be used., The images with erroneous diagnoses (false negatives and false positives) and the corresponding heat maps generated by the algorithm will be studied individually., The inter-observer concordance between the participating specialists will be analyzed. In cases where the image in question is categorized differently by each of the observers, they will be asked to review the images together to define a category., The variables of items 1. and 2. will be calculated separately for the images of each participating institution. We will evaluate if there is a significant difference in the different area under the curve values across institutions using the De Long test. A significance level of 0.01 will be used.",Observational,,"Inclusion Criteria:

X-rays that meet the following requirements will be included:

Chest X-ray
Belong to patients over 18 years of age.
Advocacy and digital acquisition
Study conducted in the aforementioned institutions and stored in their respective Picture Archiving and Communication System

Exclusion Criteria:

X-rays that are excluded:

Poor technique (low contrast, veiled, off-center)
Presence of abnormal position of the patient during acquisition.",Argentina,2021-08-05
NCT05118009,"Myocardial Infarction, Acute",Artificial Intelligence Based Rapid Identification of ST-elevation Myocardial Infarction Using Electrocardiogram (ARISE),2023-05-31,AI-enabled ECG-based Screening Tool,Not Applicable,43176,Time from ECG to activation of coronary angiography for STEMI patients.,"Time from ECG to complete of primary percutaneous coronary intervention for STEMI patients., Time from first medical contact to complete of primary percutaneous coronary intervention for STEMI patients in emergency department., Time from first medical contact to activation of coronary angiography for STEMI patients in emergency department., Ejection fractrion primary percutaneous coronary intervention for STEMI patients., After performing an electrocardiogram, the highest concentration of high-sensitivity cardiac troponin I was followed., After performing an electrocardiogram, the highest concentration of creatine kinase was followed., After performing an electrocardiogram, the length of hospitalization., Number of CAG event",Interventional,,"Inclusion Criteria:

Patients in emergency department or inpatient department.
Patients recieved at least 1 ECG examination.

Exclusion Criteria:

The patients recieved ECG at the period of inactive AI-ECG system.",Taiwan,2021-11-11
NCT03397524,Hypertension,Tailored Drug Titration Through Artificial Intelligence,2020-03-31,optima4BP,Not Applicable,0,optima4BP leads >6 mmHg of the BP reduction compared to Standard of Care,"optima4BP leads >6 mmHg of the BP reduction compared to Standard of Care baseline through 12 months of enrollment., Frequency and severity of adverse events (AEs) between baseline and the end of the study.",Interventional,,"Inclusion Criteria:

Two or more blood pressure readings of ≥ 150/95 mmHg during primary care office visits in the Department of General Medicine within the last 6 months
Therapy with medications from at least 1 anti-hypertensive pharmacological agents at the time of the last office visit
At least minimally ""tech-savvy"" defined as Ownership of a compatible smartphone Ability to access the internet

Exclusion Criteria:

Inability to operate a blood pressure cuff
Incompatible smartphone device (Galaxy S5 Android 5.0)
Less than minimally ""tech-savvy,"" defined as inability to use the Internet
Non-compliance with medical follow-up (frequent ""no shows"")
Planned coronary revascularization in the next 12 months
Myocardial infarction, coronary revascularization, stroke, cardiac or aortic surgery in the previous 90 days
GFR < 30 (CKD stage IV/ V)
Primary care provider rules out the patient due to comorbidities or other factors",United States,2018-01-12
NCT06044584,"Nociceptive Pain, Neuropathic Pain",Unveiling Physiological and Psychosocial Pain Components With an Artificial Intelligence Based Telemonitoring Tool,2028-12-31,No intervention,Unaddressed,150,"Reported trough a digital health platform by the patients. The level and its dynamic are monitored daily. The pain level is recorded through a score from 1 to 10 that is reported trough a digital health platform by the patients., Monitored using the wearable technology and software digital platforms. Questionnaires will be presented to the patients and will include anxiety, depression, fatigue, pain catastrophizing, sleep, awareness, pain efficacy, treatment expectation, Measured and extracted from wearable technology worn continuously. Physiological biomarkers will include Skin Conductance (SC), blood volume pulse (BVP), Heart rate (HR), Brain signals (functional magnetic resonance imaging, electroencephalogram), movements (accelerometer, IMU), temperature., Identified using questionnaires. Scales are usually represented with values from 0 to 10 with 0 best outcome and 10 worst outcome., As described in each patient's constant pain therapy or reported by the patient on request using the platform. Medication will be measure in terms of rate of medications and changes during the protocols, times per day of intake, number of times a on-request medication is taken.","Correlation between rehabilitation or physiotherapy attendance and pain, Correlation between sleep, activity and other daily factors with pain (measured both from wearable technology and from patients report), Identification and classification of physiological and psychosocial markers, that characterize transition between acute pain and chronic pain, QoL index done through questioners and how much pain interfere with the overall quality of life. Scales from 0 to 10, with 10 better outcome and 0 worst outcome., Changes in physiological biomarkers and pain perception following the intake of medication",Observational,,"Inclusion Criteria:

Ongoing nociceptive pain after an injury or Neuropathic pain (acute or chronic)
Familiar with using electronic devices

Exclusion Criteria:

Inability to follow the procedures of the study, e.g. due to language problems, psychological disorders, dementia, etc.
Unable or not willing to give informed consent","Switzerland, Switzerland",2023-09-21
NCT04765150,Prostate Carcinoma,Integrating Quantitative MRI and Artificial Intelligence to Improve Prostate Cancer Classification,2027-06-01,"3 Tesla Magnetic Resonance Imaging, Electronic Health Record Review",Unaddressed,275,"Both transfer constant (Ktrans) and rate constant (Kep) from normal prostate tissue will be evaluated for the inter-scanner variability. Pairwise dissimilarities between distributions will be estimated by computing the Kolmogorov-Smirnov statistic, defined as the maximum difference between the empirical distribution functions over the range of the parameter, using 200 cases for each of three MRI scanners. The mean of these pairwise dissimilarities between scanners will be computed to quantify the overall discrepancy of each DCE-MRI model. Construction of a 95% confidence interval for the difference in the mean discrepancies using the nonparametric bootstrap will be done to compare this mean discrepancy between DCE-MRI models. 10,000 bootstrap samples will be generated by sampling patients with replacement, stratifying by the scanner. Will conclude that the proposed DCE-MRI model has a reduced inter-scanner variability if the 95% confidence interval is entirely less than zero., Differences between rectangular field of view-ENCODE and standard DWI in terms of the prostate Dice's similarity coefficient (primary outcome) and apparent diffusion coefficient consistency will be compared., The overall performance of FocalNet and Prostate Imaging Reporting & Data System version 2 will be compared in terms of area under the curve. Comparison between area under the curves will be performed using DeLong's test. Will also include the comparison between FocalNet and baseline deep learning methods (U-Net and Deeplab without focal loss [FL] and mutual finding loss [MFL]) to characterize the advantages of using FL and MFL with the same study cohort. For each of these approaches, an optimal cut-point for classification of clinically significant prostate cancer will be identified by maximizing Youden's J (= sensitivity + specificity - 1) and will report sensitivity, specificity and 95% confidence intervals based on the selected cut-point.",,Observational,,"Inclusion Criteria:

Male patients 18 years of age and older
Clinical suspicion of prostate cancer or biopsy-confirmed prostate cancer
Undergone or undergoing multi-parametric 3 T prostate MRI at the University of California at Los Angeles (UCLA)
Ability to provide consent

Exclusion Criteria:

Contraindications to MRI (e.g., cardiac devices, prosthetic valves, severe claustrophobia)
Contraindications to gadolinium contrast-based agents other than the possibility of an allergic reaction to the gadolinium contrast-based agent
Prior radiotherapy",United States,2021-02-21
NCT05698056,Breast Cancer,A Retrospective Analysis of Magnetic Resonance Imaging Data for Breast Cancer Screening in the Open Consortium for Decentralized Medical Artificial Intelligence,2027-12-31,No intervention.,Unaddressed,25000,"Diagnostic performance for breast cancer detection (Sensitivity and specificity) compared to the gold stnandard method of expert-based assessment of breast MRI, may be summarized in a receiver operating characteristic curve for multiple threshold values, comparing multiple technical approaches, including swarm-learning based AI models and local AI models.",,Observational,,"Inclusion Criteria:

Female
age at the MRI examination from 18-90 years

Exclusion Criteria:

insufficient image quality as judged by a blinded radiologist before start of the analysis
non-identifiably ground truth (i.e., diagnosis has not yet been established)","Germany, Germany",2023-01-26
NCT05034185,"Colonic Polyp, Colonic Neoplasms, Colonic Dysplasia",Real-World Validation of an Artificial Intelligence Characterization Support (CADx) System,2022-10-01,Computer-aided diagnosis (CADx) support tool,Unaddressed,450,Polyp histology used as gold standard,"Subgroups include bowel preparation, size of polyp and location",Observational,,"Inclusion Criteria:

Patients who have an indication for colonoscopy and who have at least one polyp detected during colonoscopy
40 years of age and above
Consent obtained for the study

Exclusion Criteria:

Less than 39 years of age
Declined participation in study
Patients with no polyps detected during colonoscopy
Patients with inflammatory bowel disease
Patients with known unresected colorectal cancer",Singapore,2021-09-05
NCT05845463,"Endoscopy, Digestive System",The Impact of Artificial Intelligence (AI) on the Quality of Upper Gastrointestinal (GI) Endoscopy,2025-06-01,Cerebro endoscopy quality control tool,Not Applicable,300,Number of sites successfully inspected during endoscopy (0-28),"Endoscopy procedure time, Time spent at each area of the digestive tract",Interventional,,"Inclusion Criteria:

Subjects 18 years of age or above who are scheduled for outpatient diagnostic UGI endoscopy will be invited to part take in the study.

Exclusion Criteria:

The following subjects will be excluded from the study:

Inpatient/ emergency OGD referrals
Referrals for therapeutic OGD (e.g. polypectomy, feeding tube insertion),
Previous gastro-duodenal surgery
Any co-morbidity that may impair ability to provide information or give valid consent (e.g. dementia, cerebral vascular disease)",United Kingdom,2023-05-06
NCT05916014,"Atrophic Gastritis, Artificial Intelligence, Endoscopy",AI-assisted White Light Endoscopy to Identify the Kimura-Takemoto Classification of Atrophic Gastritis,2024-12-31,Diagnostic Test: The diagnosis of Artificial Intelligence and endosopists,Unaddressed,1500,"Accuracy of AI model to diagnose the Kimura-Takemoto classification, Sensitivity of AI model to diagnose the Kimura-Takemoto classification, Specificity of AI model to diagnose the Kimura-Takemoto classification",The MIOU value of AI model in semantic segmentation of endoscopic atrophy picture,Observational,,"Inclusion Criteria:

Patients aged 18-80 years who undergo the white light endoscope examination Informed consent form provided by the patient.

Exclusion Criteria:

patients with severe cardiac, cerebral, pulmonary or renal dysfunction or psychiatric;
disorders who cannot participate in gastroscopy;
Patients with progressive gastric cancer;
low quality pictures;
patients with previous surgical procedures on the stomach or esophageal;
patients who refuse to sign the informed consent form;",China,2023-06-23
NCT04838756,Breast Cancer,Mammography Screening With Artificial Intelligence (MASAI),2025-04-12,"AI screening modality, Conventional screening modality",Not Applicable,100000,Women with interval cancer per 1000 screens,"Women with screen-detected cancer per 1000 screens, Number of recalls per 1000 screens, Women with false positive per 1000 screens, Women with cancer for all recalls, True and false-positive rate, Screen detection of cancer in relation to cancer type, size and stage, Characterization of interval cancers per type, size and stage, Number of screen-readings and number of consensus meetings, The incremental cost-effectiveness ratio for AI-integrated mammography screening versus standard of care",Interventional,,"Inclusion Criteria:

Women eligible for population-based mammography screening.

Exclusion Criteria:

None.",Sweden,2021-04-09
NCT05817110,Lung Malignancy,Validating Artificial Intelligence Effectiveness Defined Lung Nodule Malignancy Score in Patients With Pulmonary Nodule.,2026-04-20,Participant Cohort,Unaddressed,700,"PPV( positive predictive value) of qXR-LNMS using a panel of radiologists assigning high-risk based on CT (done within 180 days from Xray) as the reference standard The PPV here is the number of nodules rated as high risk as assessed by a reference standard (a panel of radiologists) on CT divided by the total number of high-risk nodules as reported by qXR-LNMS (lung nodule malignancy score ) (n = 500) NPV( negative predictive value) of qXR-LNMS using panel of radiologists assigning low-risk based on CT (done within 180days from X-ray) as reference standard.

The NPV here is number of nodules rated as low risk as assessed by a reference standard (a panel of radiologists) on CT divided by total number of low-risk nodules as reported by qXR-LNMS (lung nodule malignancy score ) (n = 200)","PPV (positive predictive value) of qXR-LNMS (lung nodule malignancy score) using panel of radiologists assigning Lung-RADS (lung RADS score explained in description )>4A based on CT as reference standard.

The PPV here is number of nodules rated as Lung-RADS>4A as assessed by a reference standard (a panel of radiologists) on CT divided by total number of high-risk nodules as reported by qXR-LNMS (n = 500) NPV ( negative predictive value) of qXR-LNMS using a panel of radiologists assigning Lung-RADS<4A based on CT as the reference standard The NPV here is the number of nodules rated as Lung-RADS<4A as assessed by a reference standard (a panel of radiologists) on CT divided by the total number of low-risk nodules as reported by qXR-LNMS (n = 200)",Observational,,"Inclusion Criteria:

Male or female patients aged >35 years
Patients diagnosed with incidental pulmonary nodule (IPN) on CXR (chest x-ray) by qXR and confirmed by the radiologist at the site with nodule size ≥8 and ≤30 mm.

Exclusion Criteria:

Any medical or other contraindications for a CT scan
Nondigital (chest x-ray)CXR
CT scan is done more than 6 months after (chest x-ray) CXR
Patients with already diagnosed lung cancer
The patients referred for an X-Ray for a suspicious Lung cancer
A patient who already participated in the study.","India, India, India, India, India, India, India, India, India, India",2023-04-18
NCT04782635,Post-cardiac Surgery,Effect of Artificial Intelligence on Nutritional Status of Children Post Cardiac Surgery,2021-08-03,"mobile based application, Pamphlet",Not Applicable,61,"observe the Weight changes , weight for age , Z score weight for age in both groups, Check the average calories intake consumed in both groups, Check the average proteins consumed in both groups, Patients will be asked whether the language used in application on a likert scale ranging from very easy to very difficult , handling application will be ranging from very easy to very difficult, cost effectiveness will be ranging from yes to very costly, Visual cues in application will be ranged from useful to difficult to understand, Recipes in application will be ranged from being Useful to not useful, Meal reminders will be ranged from being useful to irritating, Patient will be inquired regarding the episodes of vomiting, diarrhea, loss of appetite and other nutritional related problems","Measure average carbohydrates consumed in both groups (intervention and usual care group) in mg, Measure average fats consumed in both groups (intervention and usual care group) in mg, Measure average vitamins consumed in both groups (intervention and usual care group) in mg and µg, Measure average minerals consumed in both groups (intervention and usual care group) in mg and µg",Interventional,,"Inclusion Criteria:

Children of age 2-12 (early and middle childhood) years will be included in the study.
Surgeries within first and second class of RACHS score are included in the study.
Patients with smart phones and internet facilities are included in the study.
Patients with caregivers who can read English are included in the study
Patients discharged from the hospital will be selected

Exclusion Criteria:

Patients with multiple congenital abnormalities and surgeries without an RACHS score are excluded.
Patient who will be rehospitalized will be excluded from the research","Pakistan, Pakistan",2021-03-04
NCT06103175,"Steatotic Liver Disease, Artificial Intelligence, Ultrasound",Observational and Prospective Study of Hepatic Steatosis and Related Risk Factors Using Ultrasound and Artificial Intelligence,2024-11-01,,Unaddressed,150,"Calculation of the Hepatorenal Index manually and automatically using the AI-based algorithm., Proton Density Fat Fraction MRI scans (MRI-PDFF) to evaluate the liver fat percentage as the average value of percentage of fat evaluated for each liver segment",,Observational,,"Inclusion Criteria:

Age between 18-70 years
MRI regardless of clinical indications,
written informed consent

Exclusion Criteria:

cirrhosis
hepatocellular carcinoma or any liver tumours,
absence of the right kidney
previous liver transplantation
large liver cysts or kidney cysts",Italy,2023-10-26
NCT05118035,"Cardiovascular Diseases, Intensity Care, Morality",Applying an Artificial Intelligence-Enabled Electrocardiographic System for Reducing Mortality,2022-12-31,AI-enabled ECG-based Screening Tool,Not Applicable,15965,"After performing an electrocardiogram, the patient's survival is tracked.","After performing an electrocardiogram, the patient's survival is tracked., After performing an electrocardiogram, the patient recieved related intervention., After performing an electrocardiogram, the patient recieved electrolyte examination, After performing an electrocardiogram, the patient recieved cadiac examination",Interventional,,"Inclusion Criteria:

Patients in emergency department or inpatient department.
Patients recieved at least 1 ECG examination.

Exclusion Criteria:

The patients recieved ECG at the period of inactive AI-ECG system.",Taiwan,2021-11-11
NCT04732156,Prostate Cancer,Detection of ISUP≥2 Prostate Cancers Using Multiparametric MRI: Prospective Multicenter Comparison of the PI-RADS Score and an Artificial Intelligence System,2026-06-15,"Blood sample, Follow up questionnaire, Human reading of prostate MR images (PI-RADSv2.1).",Not Applicable,420,"AUC of the final CAD and of the PI-RADS version 2.1 score for the detection of ISUP ≥2 cancers on systematic and targeted biopsies performed after MRI, at per-patient analysis. A priori-defined non-inferiority margin: 5 percentage points.","Specificity of the final CAD and of the PI-RADSv2.1 score for the detection of ISUP ≥2 cancers on systematic and targeted biopsies performed after MRI (per-patient, per-lobe and per-lesion analysis)., Sensitivity of the final CAD and of the PI-RADSv2.1 score for the detection of ISUP ≥2 cancers on systematic and targeted biopsies performed after MRI (per-patient, per-lobe and per-lesion analysis), AUC of the final CAD and the PI-RADSv2.1 score for predicting the diagnosis of ISUP ≥2 cancer within 3 years of follow-up, at per-patient analysis., Sensitivity and specificity of the final CAD and the PI-RADSv2.1 score for predicting the diagnosis of ISUP ≥2 cancer within 3 years of follow-up, at per-patient analysis., Analysis of the effect of biopsy setting, magnetic field strength, reader's experience, biopsy guidance technique and prostate volume on the AUC of the final CAD and the PI-RADv2.1, at per-patient analysis., AUC of the PHI index for the detection of cancers ISUP ≥2 on systematic and targeted biopsies performed after MRI, at per-patient analysis., Number of biopsies avoided and number of ISUP cancers ≥2 missed according to the strategies described below:

PHI index then, if positive, MRI and biopsies regardless of the MRI result (MRI used only to guide targeted biopsies).
PHI index then, if positive, MRI then, if positive, targeted biopsies.
Biopsy only if MRI positive; no PHI index.
MRI then, if positive, PHI index then, if positive, targeted biopsies.
MRI then, if negative, PHI index; biopsy for patients with a positive MRI or with a negative MRI but a positive PHI index
PHI index and MRI for all patients; biopsy if positive PHI index AND positive MRI.
PHI index and MRI for all patients; biopsy if positive PHI OR positive MRI.",Interventional,,"Inclusion Criteria:

Men over 18 years of age
Patient with clinical suspicion of prostate cancer referred for a multiparametric MRI of the prostate before a first series of biopsies or before new biopsies after one or more series of negative biopsies
PSA ≤ 30 ng / ml
Clinical stage ≤ T2c
Affiliation or beneficiary of a social security scheme

Exclusion Criteria:

Men over 80 years of age
PSA> 30 ng / ml
Stage T3 or T4 on digital rectal examination
Previous prostate biopsy performed within 12 months
History of prostate cancer diagnosed by biopsy or endourethral resection.
History of pelvic radiotherapy regardless of the cause.
History of total or focal treatment for prostate cancer.
History of hormone therapy
MRI performed more than 3 months before biopsy
Prostate MRI performed on a machine other than the center's machines accredited for the study.
Presence of a hip prosthesis
Contraindication to performing an MRI
Contraindication to performing prostate biopsy
Patient subject to a legal protection measure or deprived of liberty
Subject participating or having participated in interventional medical research with an exclusion period still in progress
Misunderstanding of the French language","France, France, France, France, France, France, France, France, France, France, France, France, France, France, France, France, France",2021-02-01
NCT04919837,"Ophthalmology, Low Vision Aids, Artificial Intelligence",The Efficacy of an Artificial Intelligence Platform to Adapt Visual Aids for Patients With Low Vision: a Randomised Controlled Trial,2021-07-30,Low vision aids,Not Applicable,200,The investigator will calculate the proportion of giving up more than one assisting devices in two groups for three months and six months,The investigator will apply survival analysis for the time cost of using assisting devices in different groups.,Interventional,,"Inclusion Criteria:

Low vision Aged 3 to 105

Exclusion Criteria:

Severe systemic diseases Failure to sign informed consent or unwilling to participate",China,2021-06-09
NCT05652933,"Stroke, Acute",Optimizing Acute Ischemic Stroke Diagnostics Using Artificial Intelligence,2025-12-31,"Software for identifying vessel occlusion, infarct volume and penumbra",Unaddressed,300,Minutes,"Minutes, Minutes, Number of patients, Number of patients, Number of participants with independent functioning on the modified Rankin Scale (mRS 0 to 6), as defined by a score of 0-2. The modified Rankin Scale (mRS) is a valid and reliable clinician-reported measure of global disability that has been widely applied for evaluating recovery from stroke. It is a scale used to measure functional recovery (the degree of disability or dependence in daily activities) of people who have suffered a stroke. mRS scores range from 0 (best outcome) to 6 (worst outcome), with 0 indicating no residual symptoms; 5 indicating bedbound, requiring constant care; and 6 indicating death., Health-related quality of life, as measured by the EQ-5D-5L at Day 90. The EQ-5D-5L (EuroQol 5-Dimensional 5-Level) is a generic instrument for describing and valuing health. It is based on a descriptive system that defines health in terms of five dimensions: Mobility, Self-Care, Usual Activities, Pain/Discomfort, and Anxiety/Depression. Each dimension has five response categories corresponding to: no problems, slight, moderate, severe and extreme problems. The respondents will also rate their overall health on the day of the interview on a 0-100 visual analogue scale (EQ-VAS, higher scores mean better outcomes).",Observational,,"Inclusion Criteria:

Patients with ischemic stroke.
All stroke severities and vascular distributions are eligible.
Informed written consent signed by the patient, verbal consent from the patient as witnessed by a non-participating health care person or consent by the signature of the patient's family must be provided before inclusion. Patients for whom no informed consent can be obtained will not be included in the study but will be treated according to standard guidelines.

Exclusion Criteria:

• Patients not available for follow-up assessments (e.g. non-resident).","Norway, Norway, Norway",2022-12-15
NCT03761771,"Sensitivity of the ADS in Identifying Polyps in Real-world Colonoscopy, Mean Number of Polyps Per Colonoscopy for Colonoscopists and Colonoscopists + ADS",Artificial Intelligence Identifying Polyps in Real-world Colonoscopy,2018-12-10,colonoscopy withdrawal with the ADS monitoring,Unaddressed,209,Polyps that were only reported by colonoscopists were considered to be missed by the ADS (polyps were reported by the colonoscopists and the ADS did not identify the location of polyps until colonoscopists unfolded and pictured the polyps.),"when the system identified and confirmed any lesion in the images with no polyps or cancers appearing, the results were judged to be false-positive.",Observational,,"Inclusion Criteria:

patients receiving screening colonoscopy
patients receiving surveillance colonoscopy
patients receiving diagnostic colonoscopy

Exclusion Criteria:

patients with declined consent
patients with poor bowel preparation
patients with failed cecal intubation
patients with colonic resection
patients with inflammatory bowel diseases
patients with polyposis","China, China",2018-12-03
